(id,'title','description','path',"userId),"
(2,'Jetpulse','Fundamental dynamic functionalities','https://picsum.photos/seed/2/800/600',"2),"
(3,'Eayo','User-friendly client-driven capacity','https://picsum.photos/seed/3/800/600',"3),"
(4,'Jetwire','Progressive maximized workforce','https://picsum.photos/seed/4/800/600',"4),"
(5,'Chatterbridge','Upgradable 5th generation productivity','https://picsum.photos/seed/5/800/600',"5),"
(6,'Brainlounge','Distributed directional help-desk','https://picsum.photos/seed/6/800/600',"6),"
(7,'Centimia','Focused client-driven adapter','https://picsum.photos/seed/7/800/600',"7),"
(8,'Riffpath','Multi-layered tertiary access','https://picsum.photos/seed/8/800/600',"8),"
(9,'Edgetag','Inverse leading edge standardization','https://picsum.photos/seed/9/800/600',"9),"
(10,'JumpXS','Future-proofed solution-oriented emulation','https://picsum.photos/seed/10/800/600',"10),"
(11,'Dynava','Quality-focused background database','https://picsum.photos/seed/11/800/600',"11),"
(12,'Brainbox','Quality-focused coherent middleware','https://picsum.photos/seed/12/800/600',"12),"
(13,'Yodel','Intuitive homogeneous software','https://picsum.photos/seed/13/800/600',"13),"
(14,'Topdrive','Adaptive fresh-thinking core','https://picsum.photos/seed/14/800/600',"14),"
(15,'Meembee','Public-key responsive approach','https://picsum.photos/seed/15/800/600',"15),"
(16,'Avaveo','Business-focused responsive local area network','https://picsum.photos/seed/16/800/600',"16),"
(17,'Pixoboo','Object-based incremental strategy','https://picsum.photos/seed/17/800/600',"17),"
(18,'Gabvine','Proactive background strategy','https://picsum.photos/seed/18/800/600',"18),"
(1,'Jatri','Total web-enabled workforce','https://picsum.photos/seed/1/800/600',"1),"
(19,'Babblestorm','Customizable interactive process improvement','https://picsum.photos/seed/19/800/600',"19),"
(20,'Oyoloo','Distributed intangible complexity','https://picsum.photos/seed/20/800/600',"20),"
(21,'Eadel','Organic multimedia extranet','https://picsum.photos/seed/21/800/600',"1),"
(22,'Photobug','Front-line holistic conglomeration','https://picsum.photos/seed/22/800/600',"2),"
